bactNOG00014	UniRef90_Q8ZNF3	UniRef90_Q795J3	UniRef90_A9R095	UniRef90_B4SYW9	UniRef90_B4TPI0	UniRef90_B5BCP8	UniRef90_B5R270	UniRef90_Q2NRV5	UniRef90_Q3KCC3	UniRef90_Q3YZV3	UniRef90_Q4ZSZ4	UniRef90_Q93PE0	UniRef90_A4TIM2	UniRef90_A4WAM5	UniRef90_B1JJ28	UniRef90_B5FNT7	UniRef90_Q8Z542	UniRef90_A8FRR4	UniRef90_B2VBJ1	UniRef90_B5RCC2	UniRef90_B7LM78	UniRef90_C5BDQ4	UniRef90_Q31YK4	UniRef90_Q83QT9	UniRef90_A0KGY8	UniRef90_C0Q071	UniRef90_Q7N3Q5	UniRef90_A4SQW7	UniRef90_B4TBG4	UniRef90_Q9HY65	UniRef90_B5XTK7	UniRef90_B8DZE9	UniRef90_A0LWA0	UniRef90_A0RR67	UniRef90_A8M279	UniRef90_A9BBG0	UniRef90_B1XW47	UniRef90_Q39YH4	UniRef90_Q63N73	UniRef90_A9KWU4	UniRef90_C0QRU9	UniRef90_C9R9Z8	UniRef90_Q64WE4	UniRef90_Q8XN74	UniRef90_A5FN49	UniRef90_B4UL97	UniRef90_C5C136	UniRef90_O83117	UniRef90_Q0IDQ6	UniRef90_Q17YD5																									
bactNOG00441	UniRef90_P30011	UniRef90_O25909	UniRef90_P46714	UniRef90_Q57278	UniRef90_Q9CLU4	UniRef90_A0JY17	UniRef90_A0PP12	UniRef90_A1ALR4	UniRef90_A1AVE5	UniRef90_A1BIQ8	UniRef90_A1S2H6	UniRef90_A1T8V7	UniRef90_A1TTV8	UniRef90_A2BNY3	UniRef90_A2BUG5	UniRef90_A4JH25	UniRef90_A5FYR9	UniRef90_A6TJ94	UniRef90_A8G2J4	UniRef90_A8IA61	UniRef90_B0TBP9	UniRef90_B0U157	UniRef90_B0UQU3	UniRef90_B1XUF8	UniRef90_B1YV97	UniRef90_P9WJJ7	UniRef90_P74301	UniRef90_A0Q5S0	UniRef90_A1JJL2	UniRef90_A1UHL2	UniRef90_A6LDQ3	UniRef90_A6Q220	UniRef90_A9W632	UniRef90_B6ELF9	UniRef90_C7MGR0	UniRef90_Q185P1	UniRef90_Q2S1A8	UniRef90_Q4KIF0	UniRef90_Q7NM79	UniRef90_Q888R8	UniRef90_A0RP63	UniRef90_A1VWM4	UniRef90_A4T9M2	UniRef90_A5VYL3	UniRef90_A6SZJ2	UniRef90_B3EGQ0	UniRef90_B4SQL8	UniRef90_C6XRJ1	UniRef90_Q0HQM2	UniRef90_Q3AVY4																									
bactNOG00852	UniRef90_P46329	UniRef90_P39616	UniRef90_Q9I6C8	UniRef90_A9MCY4	UniRef90_Q65DP0	UniRef90_Q8EB51	UniRef90_Q8F7S5	UniRef90_Q55811	UniRef90_C7NI02	UniRef90_Q4FS64	UniRef90_A1TLK4	UniRef90_A5I0U1	UniRef90_B9DMT0	UniRef90_Q0BYG1	UniRef90_Q5HN16	UniRef90_Q73U02	UniRef90_A1T1A6	UniRef90_A1U910	UniRef90_A2BUW1	UniRef90_A4JIP4	UniRef90_A4SPP8	UniRef90_A4T522	UniRef90_A4VH64	UniRef90_A4Z1L6	UniRef90_A5FXY3																																																		
bactNOG00947	UniRef90_P9WQD1	UniRef90_A1JIK3	UniRef90_A1UWN5	UniRef90_A1WY97	UniRef90_A3D3E8	UniRef90_A4VKA0	UniRef90_A4YK73	UniRef90_B0TPY4	UniRef90_B2IB12	UniRef90_C1D6V9	UniRef90_Q2T3N9	UniRef90_Q3SLF4	UniRef90_Q48G09	UniRef90_Q63NC4	UniRef90_Q66FM8	UniRef90_Q7MGU3	UniRef90_Q8KBY0	UniRef90_Q9HV66	UniRef90_A0KNI2	UniRef90_A4SJM6	UniRef90_A7HSR8	UniRef90_B1ZB59	UniRef90_B3R1X2	UniRef90_B5ZV36	UniRef90_B7KPN8	UniRef90_A6UED8	UniRef90_Q6G1W0	UniRef90_A8G8G7	UniRef90_Q0VSR6	UniRef90_B0S8X7	UniRef90_A1RIK1	UniRef90_Q82SI5	UniRef90_Q1H0J2	UniRef90_Q7M9Y2	UniRef90_B4RC29	UniRef90_A9FG84	UniRef90_C5CCV4	UniRef90_C6B077	UniRef90_Q4K827	UniRef90_B0VNB8	UniRef90_B8CLF3	UniRef90_C1DQG6	UniRef90_C8X4E2	UniRef90_A4JT58	UniRef90_Q0B2C1	UniRef90_Q4K5Y0	UniRef90_Q5QY84	UniRef90_C5BN53	UniRef90_C6WWI6	UniRef90_Q0AP74																									
bactNOG01259	UniRef90_O06961	UniRef90_P37877	UniRef90_Q9WYB1	UniRef90_P77845	UniRef90_P71104	UniRef90_A1T2Y9	UniRef90_A4VIM1	UniRef90_A6QHP5	UniRef90_A7FW24	UniRef90_A7I2H6	UniRef90_B0JMT8	UniRef90_B0RIG4	UniRef90_B0S1N0	UniRef90_B0TGV2	UniRef90_B1JGK4	UniRef90_B2TJ17	UniRef90_B3QA57	UniRef90_B3QV27	UniRef90_B4EZD9	UniRef90_B5Y7W0	UniRef90_B7IDH3	UniRef90_B8HVB6	UniRef90_B8J374	UniRef90_P63415	UniRef90_Q0HK48	UniRef90_P11868	UniRef90_A1R050	UniRef90_A3PTW3	UniRef90_A7GTR9	UniRef90_A8GM71	UniRef90_B2GKK6	UniRef90_B8EIS2	UniRef90_B9KFY4	UniRef90_C3L0F7	UniRef90_P47599	UniRef90_P63414	UniRef90_P9WQH1	UniRef90_Q0I3R3	UniRef90_Q18B36	UniRef90_Q2RJY3	UniRef90_Q39WV0	UniRef90_Q67L76	UniRef90_Q8D7K4	UniRef90_Q8RED7	UniRef90_Q8XAF1	UniRef90_Q9L298	UniRef90_A4XL40	UniRef90_A6LHA9	UniRef90_A9L605	UniRef90_B1II90																									
bactNOG01662	UniRef90_B1Z8B7	UniRef90_B8J7S7	UniRef90_C1D9I0	UniRef90_Q9HWP9	UniRef90_A8AM17	UniRef90_B0VCE1	UniRef90_B8IKG4	UniRef90_Q7P1T0	UniRef90_A8IJE3	UniRef90_B0U852	UniRef90_B1ZIZ2	UniRef90_C1D5C4	UniRef90_Q1CWN8	UniRef90_Q7NWP6	UniRef90_A9VY33	UniRef90_A9W559	UniRef90_C5AIL7	UniRef90_C5AQW7	UniRef90_O88047	UniRef90_Q7NWS9	UniRef90_Q7NY24	UniRef90_Q8G576	UniRef90_A0KNV7	UniRef90_A1KBF0	UniRef90_A1TVI9	UniRef90_P39389	UniRef90_Q796Q6	UniRef90_B7L2F2	UniRef90_A1JKY1	UniRef90_B9E5R4	UniRef90_C7CLC5	UniRef90_Q8R610	UniRef90_C5AQK8	UniRef90_C5CNL8	UniRef90_C7CKR4	UniRef90_A0K277	UniRef90_A0KIS4	UniRef90_A0KTP5	UniRef90_A0QPK1	UniRef90_A4JL44	UniRef90_A4SPB9	UniRef90_A4VMP8	UniRef90_A4X2L5	UniRef90_A5EEM2	UniRef90_A5ET30	UniRef90_A5FAE7	UniRef90_A5URT0	UniRef90_A6LBF0	UniRef90_A7GQA7	UniRef90_A7HJ89																									
bactNOG01793	UniRef90_P69910	UniRef90_P69908	UniRef90_Q9EYW9	UniRef90_Q5X3A8	UniRef90_Q5ZTI6	UniRef90_P58228	UniRef90_Q9F5P3	UniRef90_Q8Y4K4	UniRef90_P69911	UniRef90_Q5WUR6	UniRef90_Q928K4	UniRef90_Q928R9	UniRef90_P69912	UniRef90_Q83PR1	UniRef90_A0Q8J3	UniRef90_A7ZT59	UniRef90_B2HD02	UniRef90_B2UN99	UniRef90_B7L5Z8	UniRef90_B7L7J2	UniRef90_B7UL70	UniRef90_B8J1X0	UniRef90_C1A0W1	UniRef90_C1AZQ1	UniRef90_Q1MRQ9																																																		
bactNOG01844	UniRef90_A0JVW2	UniRef90_A0K213	UniRef90_A0PY99	UniRef90_A4J923	UniRef90_A4YX64	UniRef90_A5EGT0	UniRef90_A5FNX8	UniRef90_A5N372	UniRef90_A6LPY5	UniRef90_A7GIZ0	UniRef90_A8LGD4	UniRef90_A8MJ17	UniRef90_B0KD60	UniRef90_B0TGY3	UniRef90_B1J8P4	UniRef90_B1M4U1	UniRef90_B2A807	UniRef90_B3Q435	UniRef90_B7KZI0	UniRef90_B8IBK0	UniRef90_B9KA16	UniRef90_C0M924	UniRef90_C3JXU9	UniRef90_C5B2M3	UniRef90_C6Y172																																																		
bactNOG02159	UniRef90_P75448	UniRef90_A5EV55	UniRef90_A8FU62	UniRef90_C4LHR4	UniRef90_Q0RPS4	UniRef90_Q5YUV7	UniRef90_B3PIM2	UniRef90_Q6LGH9	UniRef90_A8L3B9	UniRef90_B2GIR4	UniRef90_B2HPX3	UniRef90_B1VHS9	UniRef90_C7MUH5	UniRef90_Q98PE8	UniRef90_A4FEG0	UniRef90_A4X6L6	UniRef90_A8M1A8																																																										
bactNOG02194	UniRef90_O34787	UniRef90_Q66CC5	UniRef90_C7PXQ2	UniRef90_Q1RS57	UniRef90_A1SVG4	UniRef90_A5GFJ8	UniRef90_A8FY86	UniRef90_A9KUH5	UniRef90_B0TPB3	UniRef90_C0ZGR0	UniRef90_Q0RKW6	UniRef90_Q9S201	UniRef90_A9EPF4	UniRef90_A9GJ18	UniRef90_B0JJG8	UniRef90_B2J2F0	UniRef90_C8XJG7	UniRef90_Q93PM9	UniRef90_A1S4L3	UniRef90_A4F5Q3	UniRef90_A9A0H9	UniRef90_C0QM81	UniRef90_C5BJI6	UniRef90_Q0HT34	UniRef90_Q47ZH3																																																		
